Secteur,Année,Actifs occupés,Capitalisation boursière,Consommation Finale,Consommation intermédiaire,Excédent brut d'exploitation,Exportations,Importations,FBCF,Impôts sur les produits,PIB,Production nationale,Salaires bruts,Volume des échanges
Agriculture,2010,,25269,,50579,89427,,,,4757,,152137,11308,1158.6
Agriculture,2011,39.8,20253,68921.31431,57002,95308,13318.75732,16005.18334,5495.191774,5263,111530.6959,164596,11313,1425
Agriculture,2012,39.2,24546,68769.74634,59077,91773,12210.29424,16382.96412,5519.448239,3813,102790.1822,163617,11636,2383.3
Agriculture,2013,39.3,26768,69531.01265,61613,106575,12739.18513,13040.9909,5617.593357,3177,121111.2982,181841,12437,9872.2
Agriculture,2014,39.4,25781,71980.46408,61861,93806,13371.04799,17314.30029,5694.959604,3013,118316.918,169766,12679,6171.6
Agriculture,2015,39,23982,74250,65161,109493,15318.00682,14119.95994,4281.137396,2857,131910,189833,13785,3520
Agriculture,2016,38,26863,72807,58543,105902,16734.87791,19949.45135,2942.514942,3325,115448,180097,13895,4078.3
Agriculture,2017,35.1,33294,77073,67023,114012,17298.976,16825.73761,3730.01069,3252,130545,198442,15366,5260.2
Agriculture,2018,34.4,32739,78466,69362,117358,17883.22087,18224.06124,3727.262647,3679,133743,204780,15832,
Agriculture,2019,32.5,,79523,67208,,19664.59412,17902.60242,4003.83103,3703,127541,207227,,
Agriculture,2020,45016,,76614,,,20167.42446,22932.28354,3631.615583,,118733,,,
Industrie,2010,,33461,,298357,99875,,,,61261,,443319,35699,17282.8
Industrie,2011,11.8,43216,220169.7,354915,111430,135099.8336,291781.8534,92197.90171,63247,129997.9669,513622,36273,5931
Industrie,2012,11.5,39618,225478.33,373164,113333,141411.5891,305109.8543,100757.6994,66178,131812.6672,535730,37758,4153
Industrie,2013,11.4,35946,229210.41,369468,118835,143428.7768,305349.9653,95953.98449,65537,130808.4422,538791,38398,448640
Industrie,2014,11,33156,237109.07,369836,120688,157333.5761,313636.4947,90702.15533,68236,136074.0629,545126,42163,66508
Industrie,2015,11.2,27152,240961,347509,125701,166151.6709,314916.818,92404.482,68531,138665,614110,43156,292196
Industrie,2016,11.3,33958,252209,335965,123479,178373.7178,359891.2999,115884.14,71280,138848,581898,41579,5833
Industrie,2017,11.7,47314,260564,344879,134636,199379.8866,390176.0617,113446.3114,75473,144090,601493,41702,727565
Industrie,2018,12,35698,268418,363895,140286,215113.2051,421465.5636,114633.6743,78460,149206,629230,44111,
Industrie,2019,12,,273264,374277,,226249.0893,443133.1194,116565.9237,81017,153322,639573,,
Industrie,2020,12.1,,267405,,,212960.6372,391314.5592,99147.62022,,146728,,,
BTP,2010,,74140.5,,65327,27563,,,,15330,,106748,11720,13573.7
BTP,2011,10.1,53376.5,3625.68,69380,30570,19642.10101,20607.99308,115614.938,16458,42698.6532,114983,12460,5611.15
BTP,2012,9.9,43796,3669.2,71395,32679,21596.15043,17906.10188,118060.9561,17587,43651.8192,120075,13258,4623.6
BTP,2013,9.3,42858.5,3710.1,73880,33381,21263.67336,18825.61687,119884.4373,18031,44344.97565,124261,14035,3791.25
BTP,2014,9.3,45312,3751.22,76111,36423,22784.68276,17235.63684,122353.6109,17933,45499.78814,129687,14274,4414.25
BTP,2015,9.4,33296,3789,76327,36969,26065.77567,17718.45806,122456.4262,18157,45796,130911,14765,3344
BTP,2016,9.8,49672,3831,76948,39165,28958.15199,18497.80777,124530.9182,17600,46543,134823,15468,5415.15
BTP,2017,10.8,46739,3867,78555,40668,30512.68773,18232.51865,126472.9409,18732,47374,138250,15954,8043.15
BTP,2018,10.4,40124,3891,80104,40471,34952.0039,19908.51486,127913.9189,20389,47403,139790,15970,
BTP,2019,10.5,,3934,80726,,39116.7788,18880.55109,129756.9742,20497,48327,142333,,
BTP,2020,10.8,,3749,,,42045.22057,14826.42943,125218.376,,46491,,,
Énergie,2010,,12734,,12532,8753,,,,2848,,27463,5170,1211.7
Énergie,2011,,14531,20240.84,15341,7264,59,5619.100425,,2956,16302.80224,29271,5475,1778.9
Énergie,2012,,9614,22033.75,18555,5788,72,5511.191723,,3227,15217.89932,31212,5597,533.4
Énergie,2013,,9843.5,22676.37,16906,8026,56,5927.64477,,3340,17478.28098,32175,6071,4828.95
Énergie,2014,,9712,24087.31,17775,8501,63,6366.210379,,3556,17710.65318,34047,6706,792.95
Énergie,2015,,13995.5,25182,17145,13001,102,5292.826056,,3964,18808,38240,6865,859.85
Énergie,2016,,20083.5,26679,15903,16449,118,5400.807371,,4166,19280,40883,7069,882.85
Énergie,2017,,24790,27540,16508,18489,126,6571.020394,,4535,19921,43529,7601,1146.2
Énergie,2018,,20535,27540,17930,19104,264,4066.661595,,4594,20972,45836,7841,
Énergie,2019,,,30142,19809,,1097.296089,574.0355653,,4917,23733,51890,,
Énergie,2020,,,31046,,,272.3447725,919.0517601,,,22992,,,
Tourisme,2010,,1684,,11303,11179,,,,2403,,28571,4956,124.4
Tourisme,2011,,1593,24689.55,11238,10837,93.58405826,2171.315093,,2287,15780.5233,28676,5282,397.3
Tourisme,2012,,929,25095,11677,11364,96.36378276,1865.729416,,2374,16192.27569,30003,5530,229.9
Tourisme,2013,,1592,25814.19,12533,12372,84.65603346,1636.794503,,2506,16953.9117,32261,5845,335.9
Tourisme,2014,,2141,26327.34,12791,13155,95.23803764,1833.35087,,2540,17320.86833,33789,6192,116.8
Tourisme,2015,,915,25328,12670,13049,109.8240434,1825.694184,,2462,17095,33845,6411,375.8
Tourisme,2016,,1688,26568,13262,13766,110.6688437,2263.021389,,2578,17716,35747,6784,485.4
Tourisme,2017,,2063,30050,14944,17977,116.450052,2297.59647,,3047,19752,41603,6695,96.7
Tourisme,2018,,2477,32019,15912,19647,112.4891659,2594.543288,,3301,20944,44720,7029,
Tourisme,2019,,,32807,16384,,117.9573892,2554.149201,,3411,21717,46722,,
Tourisme,2020,,,14011,,,60.1351396,1744.127834,,,9575,,,
Commerce,2010,,16475,,36368,48412,,,,1460,,102423,13134,2255.5
Commerce,2011,,16768.5,6722.59,39242,53394,,,,1306,69046.87373,111264,13377,1238.65
Commerce,2012,,15297,6788.24,41146,56574,,,,1499,71887.47642,118279,14716,1154.35
Commerce,2013,,15063,6887.72,40577,55445,,,,1543,70431.70213,116409,14169,698.45
Commerce,2014,,16021,7105.26,41166,56655,,,,1637,71567.60744,118323,14464,1487.8
Commerce,2015,,15159,7118,42712,56071,,,,1726,71931,119680,14575,2028
Commerce,2016,,19104,7193,43433,59805,,,,1770,75711,125208,14881,1919.25
Commerce,2017,,21441,7337,44776,61226,,,,1844,78145,128787,15281,1739.8
Commerce,2018,,19151.5,7337,46529,63866,,,,1939,79932,134341,15964,
Commerce,2019,,,7366,47328,,,,,1975,81849,138536,,
Commerce,2020,,,3376,,,,,,,73112,,,
Services,2010,,134812.75,,87253,88299,,,,22460,,310739,50553,1984424
Services,2011,38.3,121944.5,104671.8165,92512,90251,25583.91405,29940.85667,34795.10636,23743,232849.7076,332790,53083,1469403
Services,2012,39.3,95807.5,113842.6623,101059,93037,27040.24596,31380.71964,33085.08437,26081,252446.059,354081,59670.83333,952189
Services,2013,39.8,87029.25,119680.1993,105682,91225,27510.21393,30099.97716,34252.02242,26325,259976.9029,365730,63890.33333,701267
Services,2014,40.2,102629.5,123132.7203,112102,94806,31139.74468,31362.38891,33303.41619,28057,267220.2759,380078,67049.16667,271467
Services,2015,40.4,100770,126638,116482,100912,31386.96108,31041.77407,33330.37297,29013,271085,393384,68092,949419
Services,2016,40.8,129975.25,135508,118888,102190,30406.24706,33914.03296,33106.52896,28612,276916,401820,69117.66667,642950
Services,2017,42.2,123993.25,140527,124385,108773,33246.55795,40747.62794,32052.22933,29075,281472,415898,70790.66667,946802
Services,2018,43.1,130379,144766,132278,112788,34620.31002,43754.43222,32627.19524,29820,288043,433727,71612.5,
Services,2019,44.9,,149250,137858,,34897.56719,42524.93717,31534.29014,30358,299345,456630,,
Services,2020,45.7,,132319,,,25585.92367,33413.95227,27667.58053,,288438,,,
